trichotimeofday,diel2_1,diel2_2,diel2_3,diel4_1,diel4_2,diel4_3,diel6_1,diel6_2,diel6_3,diel8_1,diel8_3,diel9_1,diel9_2,diel9_3,diel10_1,diel10_2,diel10_3,diel11_1,diel11_2,diel11_3,diel12_1,diel12_3,diel14_1,diel14_2,diel14_3,diel16_1,diel16_3,diel19_1,diel19_3,diel22_1,diel22_2,diel22_3,diel23_1,diel23_2,diel23_3,diel24_1,diel24_2,diel24_3,diel1_1,diel1_2,diel1_3,teryparsed,KO,name,children__name,children__children__name,children__children__children__name,children__children__children__children__name,children__children__children__children__children__name,kid,kid2,kid3,kid4,kid5,kid6
Tery_3834  L-glutamine synthetase (EC 6.3.1.2) [Trichodesmium erythraeum IMS101: NC_008312],193.74,93.53,155.2,258.63,360.98,125.38,123.18,142.2,142.8,180.92,126.02,365.27,141.42,122.18,328.73,173,192.32,162.33,418.49,145.78,113.81,132.02,315.38,380.78,138.79,209.8,127.05,128.41,132.27,402.18,304.81,140,214.14,272.44,108.93,212.03,348.18,119.31,108.1,361.96,127.63,Tery_3834,K01915,,,,,,,,,,,,
Tery_0450  transketolase (EC 2.2.1.1) [Trichodesmium erythraeum IMS101: NC_008312],196.25,172.07,176.64,330.21,282.38,177.82,182.05,209.77,169.04,221.72,176.56,259.15,264.26,205.44,280.1,244.24,220.19,271.18,258.03,173.12,207.6,148.52,320.94,208.72,172.46,203.52,221.89,209.17,159.53,293.17,304.81,145.13,298.4,311.02,204.15,295.45,261.14,160.45,198.68,231.91,181.86,Tery_0450,K00615,,,,Carbon fixation,,K00615,"E2.2.1.1,","tktA,",tktB;,transketolase,[EC:2.2.1.1],
Tery_0450  transketolase (EC 2.2.1.1) [Trichodesmium erythraeum IMS101: NC_008312],196.25,172.07,176.64,330.21,282.38,177.82,182.05,209.77,169.04,221.72,176.56,259.15,264.26,205.44,280.1,244.24,220.19,271.18,258.03,173.12,207.6,148.52,320.94,208.72,172.46,203.52,221.89,209.17,159.53,293.17,304.81,145.13,298.4,311.02,204.15,295.45,261.14,160.45,198.68,231.91,181.86,Tery_0450,K00615,,,,Central carbohydrate metabolism,,K00615,"E2.2.1.1,","tktA,",tktB;,transketolase,[EC:2.2.1.1],
Tery_0450  transketolase (EC 2.2.1.1) [Trichodesmium erythraeum IMS101: NC_008312],196.25,172.07,176.64,330.21,282.38,177.82,182.05,209.77,169.04,221.72,176.56,259.15,264.26,205.44,280.1,244.24,220.19,271.18,258.03,173.12,207.6,148.52,320.94,208.72,172.46,203.52,221.89,209.17,159.53,293.17,304.81,145.13,298.4,311.02,204.15,295.45,261.14,160.45,198.68,231.91,181.86,Tery_0450,K00615,,,,Central carbohydrate metabolism,"M00007  Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P [PATH:map01200 map01230 map00030]",K00615,"E2.2.1.1,","tktA,",tktB;,transketolase,[EC:2.2.1.1],
Tery_4138 nifK Mo-nitrogenase MoFe protein subunit NifK (EC 1.18.6.1) [Trichodesmium erythraeum IMS101: NC_008312],200.03,150.65,186.85,163.95,136.82,127.66,139.53,133.75,139.71,147.04,136.8,144.1,158.56,129.96,186.74,142.47,120.55,153.89,110.58,124.76,158.07,141.77,258.42,211.54,163.52,188.44,173.58,218.43,168.83,291.05,291.45,142.57,294.89,209.76,163.81,205.07,113.16,161.14,135.5,195.53,150.78,Tery_4138,K02591,,,,Nitrogen metabolism,,K02591,nifK;,nitrogenase,molybdenum-iron,protein,beta,chain
Tery_4136 nifH Mo-nitrogenase iron protein subunit NifH (EC 1.18.6.1) [Trichodesmium erythraeum IMS101: NC_008312],178.64,129.23,153.16,371.78,326.04,122.34,151.53,175.99,98.8,168.6,93.67,384.26,225.69,102.72,377.36,187.54,190.23,257.11,314.41,108.64,147.53,119.27,485.58,606.43,127.11,195.98,185.21,311.1,134.27,537.65,648.49,205.5,224.68,405.05,167.84,479.66,383,113.83,132.46,492.92,115.73,Tery_4136,K02588,,,,Nitrogen metabolism,"M00175  Nitrogen fixation, nitrogen => ammonia [PATH:map00910]",K02588,nifH;,nitrogenase,iron,protein,NifH,[EC:1.18.6.1]
Tery_3649  allophycocyanin beta subunit apoprotein [Trichodesmium erythraeum IMS101: NC_008312],203.8,157.79,178.68,416.8,650.63,162.62,154.8,233.71,163.64,185.53,175.89,562.98,251.41,150.19,498.94,252.96,244.58,264.61,921.54,171.02,166.5,154.52,484.19,823.61,156.65,242.46,163.74,139,158.86,654.07,612.05,169.54,284.35,523.19,142.83,370.18,739.89,161.82,152.25,627.51,162.68,Tery_3649,K02093,,,,,,,,,,,,
"Tery_5048  phycocyanin, alpha subunit [Trichodesmium erythraeum IMS101: NC_008312]",300.67,254.9,256.28,399.49,531.28,227.97,235.46,277.35,223.85,284.85,231.15,271.44,328.54,217.12,299.56,359.09,386.73,393.17,455.35,229.89,262.4,209.28,339,538.73,278.27,276.38,256.79,305.81,213.37,379.95,329.1,236.33,403.71,477.38,268.71,490.09,678.96,236.57,225.33,410.16,231.46,Tery_5048,K02284,,,,,,,,,,,,
Tery_0996  Phycobilisome protein [Trichodesmium erythraeum IMS101: NC_008312],254.12,272.03,140.9,299.04,298.39,177.06,242,171.76,164.41,267.91,184.65,236.81,257.12,161.86,291.78,292.21,231.34,250.54,357.77,149.29,244.48,159.77,254.25,231.29,173.83,221.11,197.74,391.86,152.88,268.82,224.66,92.48,312.44,282.09,267.9,298.92,330.78,163.2,158.34,276.47,176.57,Tery_0996,K05376,,,,,,,,,,,,
Tery_0984  Phycobilisome protein [Trichodesmium erythraeum IMS101: NC_008312],195,159.93,146.01,275.94,489.07,113.98,118.82,168.95,130.45,230.19,125.35,399.89,244.26,117.51,355.97,251.51,214.62,243.97,548.59,148.59,138.05,111.76,387.63,547.19,160.78,141.96,143.16,185.34,164.84,484.73,437.18,74.49,238.72,402.64,139.6,311.09,435.23,144.68,127.13,457.45,136.23,Tery_0984,K05377,,,,,,,,,,,,
Tery_0983  Phycobilisome protein [Trichodesmium erythraeum IMS101: NC_008312],272.99,243.47,185.83,517.25,503.62,182.37,223.47,143.6,158.24,362.6,163.08,291.54,341.4,164.2,387.09,284.94,301.02,424.13,323.08,173.82,223.41,153.02,377.9,222.83,225.36,157.04,208.47,397.15,158.2,434.99,287.81,61.65,294.89,282.09,204.96,620.44,287.25,182.4,155.29,385.6,164.67,Tery_0983,K05376,,,,,,,,,,,,
Tery_3650  allophycocyanin alpha subunit apoprotein [Trichodesmium erythraeum IMS101: NC_008312],135.87,112.1,103.12,293.26,368.26,107.91,128.63,154.87,98.03,107.01,84.91,574.15,221.41,92.61,486.29,222.43,158.87,188.61,583.28,93.92,139.1,93.76,327.19,569.76,76.95,140.7,126.16,152.24,87.74,428.64,517.33,102.75,207.12,253.15,106.51,331.94,443.94,103.54,87.54,395.61,91.26,Tery_3650,K02092,,,,,,,,,,,,
Tery_3376 pgk phosphoglycerate kinase (EC 2.7.2.3) [Trichodesmium erythraeum IMS101: NC_008312],159.77,168.5,165.41,130.47,174.67,148.18,172.24,143.6,141.26,149.35,132.08,179.84,197.12,149.41,134.22,188.99,144.24,170.78,156.12,149.99,158.07,138.02,122.96,197.44,170.39,140.7,156.58,156.21,125.63,153.46,149.37,97.61,161.49,231.46,136.37,135.56,139.27,148.11,123.32,200.99,132.26,Tery_3376,K00927,,,,Carbon fixation,,K00927,"PGK,",pgk;,phosphoglycerate,kinase,[EC:2.7.2.3],
Tery_3376 pgk phosphoglycerate kinase (EC 2.7.2.3) [Trichodesmium erythraeum IMS101: NC_008312],159.77,168.5,165.41,130.47,174.67,148.18,172.24,143.6,141.26,149.35,132.08,179.84,197.12,149.41,134.22,188.99,144.24,170.78,156.12,149.99,158.07,138.02,122.96,197.44,170.39,140.7,156.58,156.21,125.63,153.46,149.37,97.61,161.49,231.46,136.37,135.56,139.27,148.11,123.32,200.99,132.26,Tery_3376,K00927,,,,Central carbohydrate metabolism,,K00927,"PGK,",pgk;,phosphoglycerate,kinase,[EC:2.7.2.3],
Tery_3376 pgk phosphoglycerate kinase (EC 2.7.2.3) [Trichodesmium erythraeum IMS101: NC_008312],159.77,168.5,165.41,130.47,174.67,148.18,172.24,143.6,141.26,149.35,132.08,179.84,197.12,149.41,134.22,188.99,144.24,170.78,156.12,149.99,158.07,138.02,122.96,197.44,170.39,140.7,156.58,156.21,125.63,153.46,149.37,97.61,161.49,231.46,136.37,135.56,139.27,148.11,123.32,200.99,132.26,Tery_3376,K00927,,,,Other carbohydrate metabolism,,K00927,"PGK,",pgk;,phosphoglycerate,kinase,[EC:2.7.2.3],
Tery_1306 dnaK chaperone protein DnaK [Trichodesmium erythraeum IMS101: NC_008312],110.71,129.23,110.27,79.67,101.89,101.83,91.57,109.81,98.8,97,107.15,89.36,64.28,108.17,72.94,85.77,79.44,80.7,91.07,111.44,101.16,90.01,79.19,81.8,95.5,92.97,101.11,76.78,104.36,74.09,83.79,131.01,147.44,103.67,111.36,60.83,87.05,104.23,106.57,109.13,117.05,Tery_1306,K04043,,,,,,,,,,,,
"Tery_0948  sedoheptulose 1,7-bisphosphatase (EC 3.1.3.37)/D-fructose 1,6-bisphosphatase (EC 3.1.3.11) [Trichodesmium erythraeum IMS101: NC_008312]",39,111.38,94.96,114.3,78.6,87.39,92.66,78.84,85.68,93.92,74.13,182.07,88.56,87.16,139.08,81.41,77.35,99.46,214.66,70.79,120.13,58.51,84.06,239.75,68.71,89.2,106.47,135.03,91.73,66.68,171.23,97.61,126.38,103.67,96.02,154.67,243.73,88.46,81.45,112.77,88.62,Tery_0948,K11532,,,,Carbon fixation,,K11532,glpX-SEBP;,"fructose-1,6-bisphosphatase",II,/,"sedoheptulose-1,7-bisphosphatase",[EC:3.1.3.11
"Tery_0948  sedoheptulose 1,7-bisphosphatase (EC 3.1.3.37)/D-fructose 1,6-bisphosphatase (EC 3.1.3.11) [Trichodesmium erythraeum IMS101: NC_008312]",39,111.38,94.96,114.3,78.6,87.39,92.66,78.84,85.68,93.92,74.13,182.07,88.56,87.16,139.08,81.41,77.35,99.46,214.66,70.79,120.13,58.51,84.06,239.75,68.71,89.2,106.47,135.03,91.73,66.68,171.23,97.61,126.38,103.67,96.02,154.67,243.73,88.46,81.45,112.77,88.62,Tery_0948,K11532,,,,Central carbohydrate metabolism,,K11532,glpX-SEBP;,"fructose-1,6-bisphosphatase",II,/,"sedoheptulose-1,7-bisphosphatase",[EC:3.1.3.11
Tery_0721  Transketolase-like [Trichodesmium erythraeum IMS101: NC_008312],103.16,132.8,167.45,118.92,93.16,174.02,140.62,119.67,170.59,149.35,153.65,170.9,157.13,194.55,107.96,106.13,149.12,155.77,71.56,150.69,199.17,153.02,181.31,47.95,154.59,159.55,201.32,80.75,155.54,121.71,122.65,145.13,175.53,98.85,167.03,112.96,8.7,149.48,154.53,112.77,163.34,Tery_0721,no,,,,,,,,,,,,
Tery_3849  Carbonate dehydratase [Trichodesmium erythraeum IMS101: NC_008312],172.35,119.24,117.42,129.31,171.76,105.63,130.81,105.59,102.66,146.27,102.43,185.43,147.13,108.17,200.35,127.93,129.61,111.66,234.18,110.04,116.97,93.76,140.32,248.21,107.18,129.4,127.95,124.44,105.02,159.81,219.81,124.58,161.49,176,112.16,159.89,156.68,91.2,102.77,245.55,97.21,Tery_3849,K08698,,,,,,,,,,,,
Tery_3909  Phycobilisome linker polypeptide [Trichodesmium erythraeum IMS101: NC_008312],118.26,92.82,111.29,251.7,145.56,89.67,127.54,150.64,79.5,108.55,81.54,201.06,152.84,98.83,182.85,152.65,139.36,166.09,177.8,94.62,119.08,95.26,182,177.7,96.88,167.09,110.05,197.25,71.79,172.51,168.8,51.38,126.38,151.89,102.48,194.65,104.46,89.14,105.81,129.14,83.99,Tery_3909,K02290,,,,,,,,,,,,
Tery_4030  glyceraldehyde 3-phosphate dehydrogenase (NADP+) (EC 1.2.1.13) [Trichodesmium erythraeum IMS101: NC_008312],166.06,123.52,129.67,189.35,234.34,117.02,152.62,191.47,109.61,167.06,113.22,298.25,197.12,125.29,261.63,219.52,172.81,196.11,314.41,112.14,128.56,115.52,228.55,298.98,117.49,183.42,141.37,131.06,113.66,209.56,369.18,104.03,203.61,272.44,131.53,218.98,243.73,107.65,117.99,302.84,111.76,Tery_4030,K00150,,,,Carbon fixation,,K00150,gap2;,glyceraldehyde-3-phosphate,dehydrogenase,(NAD(P)),[EC:1.2.1.59],
Tery_4030  glyceraldehyde 3-phosphate dehydrogenase (NADP+) (EC 1.2.1.13) [Trichodesmium erythraeum IMS101: NC_008312],166.06,123.52,129.67,189.35,234.34,117.02,152.62,191.47,109.61,167.06,113.22,298.25,197.12,125.29,261.63,219.52,172.81,196.11,314.41,112.14,128.56,115.52,228.55,298.98,117.49,183.42,141.37,131.06,113.66,209.56,369.18,104.03,203.61,272.44,131.53,218.98,243.73,107.65,117.99,302.84,111.76,Tery_4030,K00150,,,,Central carbohydrate metabolism,,K00150,gap2;,glyceraldehyde-3-phosphate,dehydrogenase,(NAD(P)),[EC:1.2.1.59],
Tery_3498  Cna B-type [Trichodesmium erythraeum IMS101: NC_008312],193.74,153.51,162.35,106.22,243.08,158.06,136.26,140.79,145.11,181.68,139.5,125.11,152.84,141.63,93.37,171.55,152.6,159.52,143.11,147.89,146.48,132.02,137.55,118.46,138.1,92.97,102.89,50.31,138.92,186.27,120.23,80.92,256.27,156.71,117,166.84,208.91,131.65,133.98,138.23,135.57,Tery_3498,no,,,,,,,,,,,,
Tery_4465  cyanobacterial porin (TC 1.B.23) [Trichodesmium erythraeum IMS101: NC_008312],133.35,122.09,125.59,108.53,186.31,113.22,128.63,112.63,101.89,128.57,101.08,134.04,128.56,112.84,105.04,101.77,117.76,135.12,158.29,100.23,126.46,97.51,100.03,194.62,107.87,119.35,116.32,71.49,90.4,173.57,119.01,102.75,172.02,144.66,99.25,133.82,191.5,102.85,92.11,130.05,103.83,Tery_4465,no,,,,,,,,,,,,
Tery_1834  6-phosphogluconate dehydrogenase (decarboxylating) (EC 1.1.1.44) [Trichodesmium erythraeum IMS101: NC_008312],105.68,117.81,117.42,168.57,123.72,107.15,119.91,109.81,120.41,77.76,110.52,138.51,81.42,106.61,113.79,127.93,110.79,109.79,143.11,93.22,104.33,95.26,150.05,76.16,94.13,146.99,107.37,199.9,126.96,137.59,120.23,113.03,126.38,144.66,125.88,145.98,34.82,102.17,92.11,105.49,109.78,Tery_1834,K00033,,,,Central carbohydrate metabolism,,K00033,"PGD,","gnd,",gntZ;,6-phosphogluconate,dehydrogenase,[EC:1.1.1.44
Tery_4282 dps Ferritin and Dps [Trichodesmium erythraeum IMS101: NC_008312],66.68,66.4,82.7,166.26,117.9,79.79,104.65,115.45,77.19,97,76.15,280.37,108.56,92.61,274.27,120.67,88.5,141.69,327.42,81.3,109.6,78.76,183.39,248.21,79.01,84.17,114.53,90.02,70.46,191.56,230.73,120.73,101.81,125.37,92.8,145.98,165.39,69.94,66.99,233.73,72.75,Tery_4282,K04047,,,,,,,,,,,,
Tery_4509 fusA2 translation elongation factor 2 (EF-2/EF-G) [Trichodesmium erythraeum IMS101: NC_008312],110.71,116.38,135.8,63.5,55.31,120.82,114.46,140.79,131.22,116.25,113.22,39.1,119.99,115.95,45.71,113.4,153.3,113.54,10.84,110.74,116.97,116.27,76.41,2.82,117.49,119.35,127.05,103.26,116.32,35.98,38.86,109.17,119.36,31.34,114.58,53.88,0,118.63,120.28,78.21,113.75,Tery_4509,K02355,,,,,,,,,,,,
Tery_4024 pgi glucose-6-phosphate isomerase (EC 5.3.1.9) [Trichodesmium erythraeum IMS101: NC_008312],117,108.53,140.9,85.44,97.52,132.98,123.18,94.33,130.45,125.49,115.24,111.7,101.42,133.85,89.48,132.3,87.8,149.2,28.19,115.65,139.1,128.27,101.42,36.67,112.68,123.12,106.47,79.43,120.97,74.09,53.43,80.92,186.06,94.03,117.81,100.8,69.64,117.94,110.38,103.68,119.7,Tery_4024,K01810,,,,Central carbohydrate metabolism,,K01810,"GPI,",pgi;,glucose-6-phosphate,isomerase,[EC:5.3.1.9],
Tery_4024 pgi glucose-6-phosphate isomerase (EC 5.3.1.9) [Trichodesmium erythraeum IMS101: NC_008312],117,108.53,140.9,85.44,97.52,132.98,123.18,94.33,130.45,125.49,115.24,111.7,101.42,133.85,89.48,132.3,87.8,149.2,28.19,115.65,139.1,128.27,101.42,36.67,112.68,123.12,106.47,79.43,120.97,74.09,53.43,80.92,186.06,94.03,117.81,100.8,69.64,117.94,110.38,103.68,119.7,Tery_4024,K01810,,,,Cofactor and vitamin biosynthesis,"M00114  Ascorbate biosynthesis, plants, glucose-6P => ascorbate [PATH:map00010 map00051 map00053]",K01810,"GPI,",pgi;,glucose-6-phosphate,isomerase,[EC:5.3.1.9],
Tery_2210  phycobilisome core-membrane linker protein [Trichodesmium erythraeum IMS101: NC_008312],59.13,69.97,63.3,56.57,80.06,72.19,63.23,46.46,74.1,55.43,69.41,115.05,57.14,72.37,93.37,53.79,50.17,54.42,93.24,75.7,82.2,59.26,57.66,73.34,44.66,57.79,80.53,83.4,68.46,65.62,98.37,73.21,45.64,74.74,83.92,48.66,60.93,58.28,82.98,80.03,64.81,Tery_2210,K02096,,,,,,,,,,,,
Tery_1891  peptidase-like [Trichodesmium erythraeum IMS101: NC_008312],100.64,123.52,131.71,120.08,45.12,125.38,127.54,98.55,125.05,121.64,116.58,79.31,121.42,122.18,95.31,106.13,103.82,120.11,30.36,131.77,135.94,104.26,88.22,33.85,138.79,81.66,133.32,169.45,120.97,75.14,44.93,77.06,182.55,60.28,118.62,149.46,43.52,117.94,106.57,55.48,123.67,Tery_1891,no,,,,,,,,,,,,
Tery_4661 metK methionine adenosyltransferase (EC 2.5.1.6) [Trichodesmium erythraeum IMS101: NC_008312],76.74,81.4,76.58,146.63,132.46,74.47,83.94,74.62,64.07,80.83,68.06,163.09,99.99,73.93,183.82,87.23,50.17,59.12,164.79,68.69,91.68,57.01,180.61,197.44,70.77,69.1,87.68,117.82,60.49,221.2,190.66,91.19,98.3,161.54,71.01,112.96,243.73,61.71,70.03,174.61,66.79,Tery_4661,K00789,,,,Cysteine and methionine metabolism,"M00609  Cysteine biosynthesis, methionine => cysteine [PATH:map01230 map00270]",K00789,metK;,S-adenosylmethionine,synthetase,[EC:2.5.1.6],,
Tery_4661 metK methionine adenosyltransferase (EC 2.5.1.6) [Trichodesmium erythraeum IMS101: NC_008312],76.74,81.4,76.58,146.63,132.46,74.47,83.94,74.62,64.07,80.83,68.06,163.09,99.99,73.93,183.82,87.23,50.17,59.12,164.79,68.69,91.68,57.01,180.61,197.44,70.77,69.1,87.68,117.82,60.49,221.2,190.66,91.19,98.3,161.54,71.01,112.96,243.73,61.71,70.03,174.61,66.79,Tery_4661,K00789,,,,Cysteine and methionine metabolism,M00034  Methionine salvage pathway [PATH:map00270],K00789,metK;,S-adenosylmethionine,synthetase,[EC:2.5.1.6],,
Tery_4661 metK methionine adenosyltransferase (EC 2.5.1.6) [Trichodesmium erythraeum IMS101: NC_008312],76.74,81.4,76.58,146.63,132.46,74.47,83.94,74.62,64.07,80.83,68.06,163.09,99.99,73.93,183.82,87.23,50.17,59.12,164.79,68.69,91.68,57.01,180.61,197.44,70.77,69.1,87.68,117.82,60.49,221.2,190.66,91.19,98.3,161.54,71.01,112.96,243.73,61.71,70.03,174.61,66.79,Tery_4661,K00789,,,,Cysteine and methionine metabolism,M00035  Methionine degradation [PATH:map00270],K00789,metK;,S-adenosylmethionine,synthetase,[EC:2.5.1.6],,
Tery_4661 metK methionine adenosyltransferase (EC 2.5.1.6) [Trichodesmium erythraeum IMS101: NC_008312],76.74,81.4,76.58,146.63,132.46,74.47,83.94,74.62,64.07,80.83,68.06,163.09,99.99,73.93,183.82,87.23,50.17,59.12,164.79,68.69,91.68,57.01,180.61,197.44,70.77,69.1,87.68,117.82,60.49,221.2,190.66,91.19,98.3,161.54,71.01,112.96,243.73,61.71,70.03,174.61,66.79,Tery_4661,K00789,,,,Cysteine and methionine metabolism,"M00368  Ethylene biosynthesis, methionine => ethylene [PATH:map00270]",K00789,metK;,S-adenosylmethionine,synthetase,[EC:2.5.1.6],,
Tery_4104  Phycobilisome linker polypeptide [Trichodesmium erythraeum IMS101: NC_008312],80.52,63.55,52.07,49.65,149.92,56.23,74.13,67.58,50.17,52.35,64.69,150.8,88.56,63.81,153.67,78.51,52.96,76.01,216.83,52.57,70.61,53.26,119.48,248.21,37.1,77.89,91.26,54.28,47.19,148.17,163.94,69.36,94.79,154.3,83.92,74.73,208.91,45.26,54.05,148.24,57.53,Tery_4104,K05378,,,,,,,,,,,,
Tery_2437 clpC1 ATPase AAA-2 [Trichodesmium erythraeum IMS101: NC_008312],144.67,80.68,112.31,73.89,106.26,101.83,124.27,114.04,110.38,95.46,98.39,156.38,102.85,106.61,191.6,101.77,109.4,117.29,45.54,91.82,102.22,108.01,129.9,45.13,94.13,133.17,90.37,95.32,99.04,125.94,82.58,115.59,119.36,159.13,87.15,71.25,147.98,106.28,87.54,104.59,102.5,Tery_2437,K03696,,,,,,,,,,,,
Tery_4669 psaA photosystem I core protein PsaA [Trichodesmium erythraeum IMS101: NC_008312],93.1,64.26,74.54,93.52,133.91,55.47,73.04,94.33,60.21,93.15,61.33,175.37,132.84,58.37,104.07,125.03,103.13,126.68,186.48,60.28,76.93,55.51,82.67,152.31,72.83,81.66,63.53,92.67,53.18,118.54,148.16,38.53,94.79,137.43,58.91,199.86,226.32,50.74,54.81,155.51,50.92,Tery_4669,K02689,,,,Photosynthesis,M00163  Photosystem I [PATH:map00195] [BR:ko00194],K02689,psaA;,photosystem,I,P700,chlorophyll,a
